year,month,day_endofweek,Date,statefips,state_name,contclaims_count_regular,contclaims_count_peuc,contclaims_count_pua,pand_claims,contclaims_count_combined,reg_reg_claims,reg_pand_claim,early_reg_claim,early_pand_claims,binary_dumb,covid_cases,covid_death_count,full_vaccine
2020,2,22,2/22/20,17,Illinois,131171,0,0,0,131171,131171,0,.,.,0,0,0,0
2020,2,22,2/22/20,18,Indiana,22913,0,0,0,22913,.,.,22913,0,0,0,0,0
2020,2,22,2/22/20,19,Iowa,30741,0,0,0,30741,.,.,30741,0,0,0,0,0
2020,2,22,2/22/20,20,Kansas,12003,0,0,0,12003,12003,0,.,.,0,0,0,0
2020,2,22,2/22/20,21,Kentucky,22623,0,0,0,22623,22623,0,.,.,0,0,0,0
2020,2,22,2/22/20,22,Louisiana,14640,0,0,0,14640,.,.,14640,0,0,0,0,0
2020,2,22,2/22/20,23,Maine,8624,0,0,0,8624,8624,0,.,.,0,0,0,0
2020,2,22,2/22/20,24,Maryland,29095,0,0,0,29095,.,.,29095,0,0,0,0,0
2020,2,22,2/22/20,25,Massachusetts,77091,0,0,0,77091,77091,0,.,.,0,0,0,0
2020,2,22,2/22/20,26,Michigan,78029,0,0,0,78029,78029,0,.,.,0,0,0,0
2020,2,22,2/22/20,27,Minnesota,62200,0,0,0,62200,62200,0,.,.,0,0,0,0
2020,2,22,2/22/20,28,Mississippi,7922,0,0,0,7922,.,.,7922,0,0,0,0,0
2020,2,22,2/22/20,29,Missouri,27035,0,0,0,27035,.,.,27035,0,0,0,0,0
2020,2,22,2/22/20,30,Montana,11308,0,0,0,11308,.,.,11308,0,0,0,0,0
2020,2,22,2/22/20,31,Nebraska,6805,0,0,0,6805,.,.,6805,0,0,0,0,0
2020,2,22,2/22/20,32,Nevada,19472,0,0,0,19472,19472,0,.,.,0,0,0,0
2020,2,22,2/22/20,33,New Hampshire,3936,0,0,0,3936,.,.,.,.,0,0,0,0
2020,2,22,2/22/20,34,New Jersey,109265,0,0,0,109265,109265,0,.,.,0,0,0,0
2020,2,22,2/22/20,35,New Mexico,10051,0,0,0,10051,10051,0,.,.,0,0,0,0
2020,2,22,2/22/20,36,New York,163220,0,0,0,163220,163220,0,.,.,0,0,0,0
2020,2,22,2/22/20,37,North Carolina,21630,0,0,0,21630,21630,0,.,.,0,0,0,0
2020,2,22,2/22/20,38,North Dakota,6886,0,0,0,6886,.,.,6886,0,0,0,0,0
2020,2,22,2/22/20,39,Ohio,70924,0,0,0,70924,.,.,70924,0,0,0,0,0
2020,2,22,2/22/20,40,Oklahoma,17269,0,0,0,17269,.,.,17269,0,0,0,0,0
2020,2,22,2/22/20,41,Oregon,30548,0,0,0,30548,30548,0,.,.,0,0,0,0
2020,2,22,2/22/20,42,Pennsylvania,142306,0,0,0,142306,142306,0,.,.,0,0,0,0
2020,2,22,2/22/20,44,Rhode Island,11199,0,0,0,11199,11199,0,.,.,0,0,0,0
2020,2,22,2/22/20,45,South Carolina,16239,0,0,0,16239,.,.,16239,0,0,0,0,0
2020,2,22,2/22/20,46,South Dakota,3164,0,0,0,3164,.,.,3164,0,0,0,0,0
2020,2,22,2/22/20,47,Tennessee,20139,0,0,0,20139,.,.,20139,0,0,0,0,0
2020,2,22,2/22/20,48,Texas,127275,0,0,0,127275,.,.,127275,0,0,0,0,0
2020,2,22,2/22/20,49,Utah,11960,0,0,0,11960,.,.,11960,0,0,0,0,0
2020,2,22,2/22/20,50,Vermont,4872,0,0,0,4872,4872,0,.,.,0,0,0,0
2020,2,22,2/22/20,51,Virginia,22493,0,0,0,22493,22493,0,.,.,0,0,0,0
2020,2,22,2/22/20,53,Washington,59819,0,0,0,59819,59819,0,.,.,0,0,0,0
2020,2,22,2/22/20,54,West Virginia,17355,0,0,0,17355,.,.,17355,0,0,0,0,0
2020,2,22,2/22/20,55,Wisconsin,43996,0,0,0,43996,43996,0,.,.,0,0,0,0
2020,2,22,2/22/20,56,Wyoming,3611,0,0,0,3611,.,.,3611,0,0,0,0,0
2020,2,29,2/29/20,1,Alabama,14721,0,0,0,14721,.,.,14721,0,1,0,0,0
2020,2,29,2/29/20,2,Alaska,8938,0,0,0,8938,.,.,8938,0,1,0,0,0
2020,2,29,2/29/20,4,Arizona,18137,0,0,0,18137,.,.,18137,0,1,0,0,0
2020,2,29,2/29/20,5,Arkansas,12244,0,0,0,12244,.,.,12244,0,1,0,0,0
2020,2,29,2/29/20,6,California,369988,0,0,0,369988,369988,0,.,.,1,14,0,0
2020,2,29,2/29/20,8,Colorado,22409,0,0,0,22409,22409,0,.,.,1,0,0,0
2020,2,29,2/29/20,9,Connecticut,42168,0,0,0,42168,42168,0,.,.,1,0,0,0
2020,2,29,2/29/20,10,Delaware,6742,0,0,0,6742,6742,0,.,.,1,0,0,0
2020,2,29,2/29/20,11,District of Columbia,7020,0,0,0,7020,7020,0,.,.,1,0,0,0
2020,2,29,2/29/20,12,Florida,33421,0,0,0,33421,.,.,33421,0,1,0,0,0
2020,2,29,2/29/20,13,Georgia,26958,0,0,0,26958,.,.,26958,0,1,0,0,0
2020,2,29,2/29/20,15,Hawaii,5951,0,0,0,5951,5951,0,.,.,1,0,0,0
2020,2,29,2/29/20,16,Idaho,10587,0,0,0,10587,.,.,10587,0,1,0,0,0
2020,2,29,2/29/20,17,Illinois,132123,0,0,0,132123,132123,0,.,.,1,0,0,0
2020,2,29,2/29/20,18,Indiana,22994,0,0,0,22994,.,.,22994,0,1,0,0,0
2020,2,29,2/29/20,19,Iowa,30516,0,0,0,30516,.,.,30516,0,1,0,0,0
2020,2,29,2/29/20,20,Kansas,11505,0,0,0,11505,11505,0,.,.,1,0,0,0
2020,2,29,2/29/20,21,Kentucky,23733,0,0,0,23733,23733,0,.,.,1,0,0,0
2020,2,29,2/29/20,22,Louisiana,15289,0,0,0,15289,.,.,15289,0,1,0,0,0
2020,2,29,2/29/20,23,Maine,9007,0,0,0,9007,9007,0,.,.,1,0,0,0
2020,2,29,2/29/20,24,Maryland,28412,0,0,0,28412,.,.,28412,0,1,0,0,0
2020,2,29,2/29/20,25,Massachusetts,83220,0,0,0,83220,83220,0,.,.,1,0,0,0
2020,2,29,2/29/20,26,Michigan,78570,0,0,0,78570,78570,0,.,.,1,0,0,0
2020,2,29,2/29/20,27,Minnesota,61696,0,0,0,61696,61696,0,.,.,1,0,0,0
2020,2,29,2/29/20,28,Mississippi,7842,0,0,0,7842,.,.,7842,0,1,0,0,0
2020,2,29,2/29/20,29,Missouri,26949,0,0,0,26949,.,.,26949,0,1,0,0,0
2020,2,29,2/29/20,30,Montana,11296,0,0,0,11296,.,.,11296,0,1,0,0,0
2020,2,29,2/29/20,31,Nebraska,6806,0,0,0,6806,.,.,6806,0,1,0,0,0
2020,2,29,2/29/20,32,Nevada,20044,0,0,0,20044,20044,0,.,.,1,0,0,0
2020,2,29,2/29/20,33,New Hampshire,4048,0,0,0,4048,.,.,.,.,1,0,0,0
2020,2,29,2/29/20,34,New Jersey,110902,0,0,0,110902,110902,0,.,.,1,0,0,0
2020,2,29,2/29/20,35,New Mexico,10039,0,0,0,10039,10039,0,.,.,1,0,0,0
2020,2,29,2/29/20,36,New York,182691,0,0,0,182691,182691,0,.,.,1,0,0,0
2020,2,29,2/29/20,37,North Carolina,21188,0,0,0,21188,21188,0,.,.,1,0,0,0
2020,2,29,2/29/20,38,North Dakota,6795,0,0,0,6795,.,.,6795,0,1,0,0,0
2020,2,29,2/29/20,39,Ohio,70655,0,0,0,70655,.,.,70655,0,1,0,0,0
2020,2,29,2/29/20,40,Oklahoma,16929,0,0,0,16929,.,.,16929,0,1,0,0,0
2020,2,29,2/29/20,41,Oregon,30165,0,0,0,30165,30165,0,.,.,1,0,0,0
2020,2,29,2/29/20,42,Pennsylvania,135095,0,0,0,135095,135095,0,.,.,1,0,0,0
2020,2,29,2/29/20,44,Rhode Island,12384,0,0,0,12384,12384,0,.,.,1,0,0,0
2020,2,29,2/29/20,45,South Carolina,15779,0,0,0,15779,.,.,15779,0,1,0,0,0
2020,2,29,2/29/20,46,South Dakota,3116,0,0,0,3116,.,.,3116,0,1,0,0,0
2020,2,29,2/29/20,47,Tennessee,20413,0,0,0,20413,.,.,20413,0,1,0,0,0
2020,2,29,2/29/20,48,Texas,133247,0,0,0,133247,.,.,133247,0,1,6,0,0
2020,2,29,2/29/20,49,Utah,11451,0,0,0,11451,.,.,11451,0,1,0,0,0
2020,2,29,2/29/20,50,Vermont,5039,0,0,0,5039,5039,0,.,.,1,0,0,0
2020,2,29,2/29/20,51,Virginia,22203,0,0,0,22203,22203,0,.,.,1,0,0,0
2020,2,29,2/29/20,53,Washington,58586,0,0,0,58586,58586,0,.,.,1,6,0,0
2020,2,29,2/29/20,54,West Virginia,16797,0,0,0,16797,.,.,16797,0,1,0,0,0
2020,2,29,2/29/20,55,Wisconsin,43574,0,0,0,43574,43574,0,.,.,1,0,0,0
2020,2,29,2/29/20,56,Wyoming,3543,0,0,0,3543,.,.,3543,0,1,0,0,0
2020,3,7,3/7/20,1,Alabama,13657,0,0,0,13657,.,.,13657,0,1,0,0,0
2020,3,7,3/7/20,2,Alaska,8266,0,0,0,8266,.,.,8266,0,1,0,0,0
2020,3,7,3/7/20,4,Arizona,17593,0,0,0,17593,.,.,17593,0,1,1,0,0
2020,3,7,3/7/20,5,Arkansas,11618,0,0,0,11618,.,.,11618,0,1,0,0,0
2020,3,7,3/7/20,6,California,378864,0,0,0,378864,378864,0,.,.,1,40,0,0
2020,3,7,3/7/20,8,Colorado,22908,0,0,0,22908,22908,0,.,.,1,9,0,0
2020,3,7,3/7/20,9,Connecticut,40638,0,0,0,40638,40638,0,.,.,1,0,0,0
2020,3,7,3/7/20,10,Delaware,5480,0,0,0,5480,5480,0,.,.,1,0,0,0
2020,3,7,3/7/20,11,District of Columbia,6792,0,0,0,6792,6792,0,.,.,1,0,0,0
2020,3,7,3/7/20,12,Florida,32262,0,0,0,32262,.,.,32262,0,1,5,0,0
2020,3,7,3/7/20,13,Georgia,25079,0,0,0,25079,.,.,25079,0,1,1,0,0
2020,3,7,3/7/20,15,Hawaii,6047,0,0,0,6047,6047,0,.,.,1,0,0,0
2020,3,7,3/7/20,16,Idaho,10167,0,0,0,10167,.,.,10167,0,1,0,0,0
2020,3,7,3/7/20,17,Illinois,136396,0,0,0,136396,136396,0,.,.,1,1,0,0
2020,3,7,3/7/20,18,Indiana,22586,0,0,0,22586,.,.,22586,0,1,0,0,0
2020,3,7,3/7/20,19,Iowa,29424,0,0,0,29424,.,.,29424,0,1,0,0,0
2020,3,7,3/7/20,20,Kansas,11003,0,0,0,11003,11003,0,.,.,1,0,0,0
2020,3,7,3/7/20,21,Kentucky,22770,0,0,0,22770,22770,0,.,.,1,0,0,0
